H50+工程,生産量
DLW32SH_コア外選,12200
DLW32SH_巻線,12200
DLW32SH_ARP洗浄,12200
DLW32SH_F板整列,12200
DLW32SH_印刷/面積測定,12200
DLW32SH_組立/熱プレス,12200
DLW32SH_オーブン,12200
DLW32SH_移し替え,12200
DLW32SH_特性選別TP,12200
DLW32MH_XK_コア外選,24500
DLW32MH_XK_巻線,24500
DLW32MH_XK_ARP洗浄,24500
DLW32MH_XK_F板整列,24500
DLW32MH_XK_印刷/面積測定,24500
DLW32MH_XK_組立/熱プレス,24500
DLW32MH_XK_オーブン,24500
DLW32MH_XK_移し替え,24500
DLW32MH_XK_特選選別TP,24500
DLW32MH_XT_コア外選,11800
DLW32MH_XT_巻線,11800
DLW32MH_XT_巻き外選,11800
DLW32MH_XT_ARP洗浄,11800
DLW32MH_XT_F板整列,11800
DLW32MH_XT_印刷/面積測定,11800
DLW32MH_XT_組立/熱プレス,11800
DLW32MH_XT_オーブン,11800
DLW32MH_XT_移し替え,11800
DLW32MH_XT_特性選別TP,11800
DLW32PH_コア外選,370
DLW32PH_巻線,370
DLW32PH_ARP洗浄,370
DLW32PH_F板整列,370
DLW32PH_印刷/面積測定,370
DLW32PH_組立/熱プレス,370
DLW32PH_オーブン,370
DLW32PH_移し替え,370
DLW32PH_特性選別TP,370
DLW32SH_MF_コア外選,370
DLW32SH_MF_端子組立,370
DLW32SH_MF_オーブン1,370
DLW32SH_MF_巻線,370
DLW32SH_MF_ARP洗浄,370
DLW32SH_MF_F板整列,370
DLW32SH_MF_印刷/面積測定,370
DLW32SH_MF_組立/熱プレス,370
DLW32SH_MF_オーブン2,370
DLW32SH_MF_移し替え,370
DLW32SH_MF_F板印字機,370
DLW32SH_MF_特性選別TP,370
DLW32MH_MK_コア外選,160
DLW32MH_MK_端子組立,160
DLW32MH_MK_オーブン1,160
DLW32MH_MK_巻線,160
DLW32MH_MK_ARP洗浄,160
DLW32MH_MK_F板整列,160
DLW32MH_MK_印刷/面積測定,160
DLW32MH_MK_組立/熱プレス,160
DLW32MH_MK_オーブン2,160
DLW32MH_MK_移し替え,160
DLW32MH_MK_F板印字機,160
DLW32MH_MK_特性選別TP,160
DLW32MH_MX_コア外選,1050
DLW32MH_MX_端子組立,1050
DLW32MH_MX_オーブン1,1050
DLW32MH_MX_巻線,1050
DLW32MH_MX_ARP洗浄,1050
DLW32MH_MX_F板整列,1050
DLW32MH_MX_印刷/面積測定,1050
DLW32MH_MX_組立/熱プレス,1050
DLW32MH_MX_オーブン2,1050
DLW32MH_MX_移し替え,1050
DLW32MH_MX_F板印字機,1050
DLW32MH_MX_特性選別TP,1050
